ticker,map_defined_category
BUFP US,Ladder
PBFR US,Ladder
PQAP US,Buffer
PQJA US,Buffer
PQJL US,Buffer
PQOC US,Buffer
APRP US,Buffer
AUGP US,Buffer
DECP US,Buffer
FEBP US,Buffer
JANP US,Buffer
JULP US,Buffer
JUNP US,Buffer
MRCP US,Buffer
MAYP US,Buffer
NOVP US,Buffer
OCTP US,Buffer
SEPP US,Buffer
PBAP US,Buffer
PBAU US,Buffer
PBDE US,Buffer
PBFB US,Buffer
PBJA US,Buffer
PBJL US,Buffer
PBJN US,Buffer
PBMR US,Buffer
PBMY US,Buffer
PBNV US,Buffer
PBOC US,Buffer
PBSE US,Buffer
PMAP US,Buffer
PMAU US,Buffer
PMDE US,Buffer
PMFB US,Buffer
PMJA US,Buffer
PMJL US,Buffer
PMJN US,Buffer
PMMR US,Buffer
PMMY US,Buffer
PMNV US,Buffer
PMOC US,Buffer
PMSE US,Buffer
QB US,Buffer
RB US,Buffer
FB US,Buffer
THEQ US,Hedged Equity
QBER US,Hedged Equity
QBUL US,Hedged Equity
ONEZ US,Ladder
AUGZ US,Outcome
JULZ US,Outcome
HYKE US,Defined Risk
DVXC US,Defined Volatility
DVXY US,Defined Volatility
DVXP US,Defined Volatility
DVXE US,Defined Volatility
DVXF US,Defined Volatility
DVXV US,Defined Volatility
DVIN US,Defined Volatility
DVXB US,Defined Volatility
DVQQ US,Defined Volatility
DVRE US,Defined Volatility
DVSP US,Defined Volatility
DVXK US,Defined Volatility
DVUT US,Defined Volatility
XBAP US,Buffer
BFJA US,Floor
DGJA US,Buffer
DDFF US,Dual Buffer
DDTF US,Dual Buffer
JANI US,Buffer
DDFM US,Dual Buffer
DDTM US,Dual Buffer
DLFE US,Dual Buffer
XDOC US,Accelerator
XDJL US,Accelerator
OCTD US,Outcome
HOCT US,Outcome
OCTQ US,Buffer
JULD US,Buffer
HJUL US,Buffer
JULQ US,Buffer
APRD US,Outcome
HAPR US,Buffer
XDAP US,Accelerator
JAND US,Outcome
JANQ US,Outcome
DDTA US,Buffer
DDFA US,Buffer
QBKV US,Buffer
QBQV US,Buffer
QBSV US,Buffer
QBKF US,Buffer
QBQF US,Buffer
QBIV US,Buffer
QBIF US,Buffer
ARLI US,Buffer
ARKI US,Buffer
ABUF US,Buffer
BFXU US,Accelerator
BUFE US,Buffer
BFEW US,Buffer
XBFR US,Buffer
NBFR US,Buffer
ACYS US,Barrier
DGAP US,Buffer
