etp_category,issuer,issuer_nickname
LI,Valkyrie ETF Trust II,Valkyrie
Thematic,Valkyrie ETF Trust II,Valkyrie
Crypto,VanEck Digital Assets LLC,VanEck
Crypto,VanEck ETFs/USA,VanEck
Crypto,VanEck Funds,VanEck
Thematic,VanEck ETFs/USA,VanEck
Thematic,VanEck Funds,VanEck
Thematic,Virtus ETF Trust II,Virtus
Thematic,ETFis Series Trust I/Virtus ET,Virtus
LI,Tidal Trust III,VistaShares
Crypto,Volatility Shares Trust,VolatilityShares
LI,Volatility Shares Trust,VolatilityShares
LI,VS Trust,VolatilityShares
Defined,WEBs ETF Trust,WEBs
CC,WisdomTree ETFs/USA,WisdomTree
Crypto,WisdomTree ETFs/USA,WisdomTree
Thematic,WisdomTree ETFs/USA,WisdomTree
CC,Tidal Trust II,YieldMax
CC,Hanetf II Icav,REX
LI,Harbor ETF Trust,Harbor ETF Trust
LI,DB AG ETNs/USA,DB AG ETNs
LI,Ultimus Managers Trust/Q3 Asse,Ultimus Managers Trust/Q3 Asse
LI,UBS AG VelocityShares / London,UBS AG VelocityShares / London
LI,Powershares DB ETNs/USA,Powershares DB ETNs
LI,Credit Suisse AG VelocityShare,Credit Suisse AG VelocityShare
LI,Amplify Commodity Trust,Amplify Commodity Trust
LI,Barclays Bank PLC,Barclays Bank PLC
LI,Guggenheim ETFs/USA,Guggenheim ETFs
LI,FactorShares ETFs/USA,FactorShares ETFs
LI,Northern Lights Fund Trust IV/,Northern Lights Fund Trust IV/
LI,Barclays ETNs/USA,Barclays ETNs
LI,ConvexityShares Trust LLC,ConvexityShares Trust LLC
LI,AccuShares Investment Manageme,AccuShares Investment Manageme
LI,Rex Shares ETFs/USA,Rex Shares ETFs
LI,MacroShares ETFs/USA,MacroShares ETFs
Crypto,Strategic Trust,Strategic Trust
LI,Neos ETF Trust,Neos ETF Trust
LI,ETF Series Solutions,ETF Series Solutions
Crypto,Pando Asset AG/Switzerland,Pando Asset AG/Switzerland
Crypto,Teucrium Commodity Trust,Teucrium Commodity Trust
Crypto,Bitwise Avalanche ETF/Fund Par,Bitwise Avalanche ETF/Fund Par
Crypto,iShares Delaware Trust Sponsor,iShares Delaware Trust Sponsor
Thematic,RBB ETFs/F/m Investments,RBB ETFs/F/m Investments
Thematic,Alger ETF Trust/The,Alger ETF Trust/The
Thematic,Lazard Active ETF Trust,Lazard Active ETF Trust
Thematic,GraniteShares ETF Trust,GraniteShares ETF Trust
Thematic,T Rowe Price Exchange-Traded F,T Rowe Price Exchange-Traded F
Crypto,ETF Series Solutions,ETF Series Solutions
Thematic,Tigershares Trust,Tigershares Trust
Thematic,Series Portfolio Trust/Subvers,Series Portfolio Trust/Subvers
Thematic,Grizzle Investment Management,Grizzle Investment Management
Thematic,Amplify Commodity Trust,Amplify Commodity Trust
Thematic,New York Life Investments ETF,New York Life Investments ETF
Crypto,Reality Shares ETFs/USA,Reality Shares ETFs
Crypto,Exchange Listed Funds Trust,Exchange Listed Funds Trust
Crypto,Volt ETF Trust,Volt ETF Trust
Crypto,Exchange-Traded Concepts ETFs/,Exchange-Traded Concepts ETFs/
CC,ALPS ETF Trust,ALPS ETF Trust
Thematic,Exchange Listed Funds Trust,Exchange Listed Funds Trust
Crypto,EA Series Trust,EA Series Trust
Thematic,ETF Opportunities Trust/IDX Ad,ETF Opportunities Trust/IDX Ad
Thematic,Advisors Series Trust/VegTech,Advisors Series Trust/VegTech
Thematic,RBB Fund Trust/Energy & Minera,RBB Fund Trust/Energy & Minera
Thematic,Spinnaker Etf Series/Old,Spinnaker Etf Series/Old
Crypto,Tidal Trust I,Tidal Trust I
Thematic,Tortoise Index Solutions ETFs/,Tortoise Index Solutions ETFs/
Thematic,Baron Select Funds,Baron Select Funds
Thematic,ETF Opportunities Trust/Tuttle,ETF Opportunities Trust/Tuttle
CC,Vegashares ETF Trust,Vegashares ETF Trust
Crypto,Morgan Stanley Etf Trust,Morgan Stanley Etf Trust
Crypto,ETF Opportunities Trust/Framew,ETF Opportunities Trust/Framew
