ticker,map_li_category,map_li_subcategory,map_li_direction,map_li_leverage_amount,map_li_underlier
SBB US,Equity,Index/Basket/ETF Based,Short,1.0,
SBIT US,Crypto,Single Stock,Short,2.0,XBTUSD Curncy
SBTU US,Equity,Single Stock,Long,2.0,SBET US
SBU US,Equity,Single Stock,Long,2.0,SBUX US
SCC US,Equity,Index/Basket/ETF Based,Short,2.0,
SCO US,Commodity,Index/Basket/ETF Based,Short,2.0,
SDD US,Equity,Index/Basket/ETF Based,Short,2.0,
SDOW US,Equity,Index/Basket/ETF Based,Short,3.0,
SDP US,Equity,Index/Basket/ETF Based,Short,2.0,
SDS US,Equity,Index/Basket/ETF Based,Short,2.0,
SEF US,Equity,Index/Basket/ETF Based,Short,1.0,
SETH US,Crypto,Single Stock,Short,1.0,XETUSD Curncy
SH US,Equity,Index/Basket/ETF Based,Short,1.0,
SHPD US,Equity,Single Stock,Short,1.0,SHOP US
SHPU US,Equity,Single Stock,Long,2.0,SHOP US
SIJ US,Equity,Index/Basket/ETF Based,Short,2.0,
SJB US,Fixed Income,Index/Basket/ETF Based,Short,1.0,
SKF US,Equity,Index/Basket/ETF Based,Short,2.0,
SKRE US,Equity,Index/Basket/ETF Based,Short,2.0,
SKYU US,Equity,Index/Basket/ETF Based,Long,2.0,
SLON US,Crypto,Single Stock,Long,2.0,XSOUSD Curncy
SMCL US,Equity,Single Stock,Long,2.0,SMCI US
SMCX US,Equity,Single Stock,Long,2.0,SMCI US
SMCZ US,Equity,Single Stock,Short,2.0,SMCI US
SMDD US,Equity,Index/Basket/ETF Based,Short,3.0,
SMN US,Equity,Index/Basket/ETF Based,Short,2.0,
SMQ US,Equity,Index/Basket/ETF Based,Short,1.0,QQQ US
SMST US,Equity,Single Stock,Short,2.0,MSTR US
SMU US,Equity,Single Stock,Long,2.0,SMR US
SMUP US,Equity,Single Stock,Long,2.0,SMR US
SNAG US,Equity,Single Stock,Long,2.0,SNAP US
SNOU US,Equity,Single Stock,Long,2.0,SNOW US
SNPX US,Equity,Single Stock,Long,2.0,SNPS US
SOFX US,Equity,Single Stock,Long,2.0,SOFI US
SOLT US,Crypto,Single Stock,Long,2.0,XSOUSD Curncy
SOLX US,Crypto,Single Stock,Long,2.0,XSOUSD Curncy
SOUX US,Equity,Single Stock,Long,2.0,SOUN US
SOXL US,Equity,Index/Basket/ETF Based,Long,3.0,
SOXS US,Equity,Index/Basket/ETF Based,Short,3.0,
SPDN US,Equity,Index/Basket/ETF Based,Short,1.0,
SPOG US,Equity,Single Stock,Long,2.0,SPOT US
SPUU US,Equity,Index/Basket/ETF Based,Long,2.0,
SPXL US,Equity,Index/Basket/ETF Based,Long,3.0,
SPXS US,Equity,Index/Basket/ETF Based,Short,3.0,
SPXU US,Equity,Index/Basket/ETF Based,Short,3.0,
SPYQ US,Equity,Index/Basket/ETF Based,Long,2.0,SPY US
SQQQ US,Equity,Index/Basket/ETF Based,Short,3.0,
SRPU US,Equity,Single Stock,Long,2.0,SPRT US
SRS US,Equity,Index/Basket/ETF Based,Short,2.0,
SRTY US,Equity,Index/Basket/ETF Based,Short,3.0,
SSG US,Equity,Index/Basket/ETF Based,Short,2.0,
SSO US,Equity,Index/Basket/ETF Based,Long,2.0,
STSM US,Equity,Single Stock,Short,2.0,TSM US
SVIX US,Volatility,Index/Basket/ETF Based,Short,1.0,
SVOL US,Volatility,Index/Basket/ETF Based,Short,0.25,
SVXY US,Volatility,Index/Basket/ETF Based,Short,0.5,
SZK US,Equity,Index/Basket/ETF Based,Short,2.0,
TARK US,Equity,Index/Basket/ETF Based,Long,2.0,
TBF US,Fixed Income,Index/Basket/ETF Based,Short,1.0,
TBT US,Fixed Income,Index/Basket/ETF Based,Short,2.0,
TBX US,Fixed Income,Index/Basket/ETF Based,Short,1.0,
TBXU US,Equity,Index/Basket/ETF Based,Long,2.0,
TECL US,Equity,Index/Basket/ETF Based,Long,3.0,
TECS US,Equity,Index/Basket/ETF Based,Short,3.0,
TEMT US,Equity,Single Stock,Long,2.0,TEM US
TERG US,Equity,Single Stock,Long,2.0,TER US
TEXU US,Equity,Index/Basket/ETF Based,Long,2.0,
TMF US,Fixed Income,Index/Basket/ETF Based,Long,3.0,
TMV US,Fixed Income,Index/Basket/ETF Based,Short,3.0,
TNA US,Equity,Index/Basket/ETF Based,Long,3.0,
