ticker,fund_name,current_map,expected,status,confidence
DULL US,MICROSECTORS GOLD -3X INVERSE LEVERAGED ETN,,,UNCLEAR,LOW
DUOG US,LEVERAGE SHARES 2X LONG DUOL DAILY ETF,DUOL US,DUOL US,OK,HIGH
DUSL US,DIREXION DAILY INDUSTRIALS BULL 3X ETF,,,UNCLEAR,LOW
DUST US,DIREXION DAILY GOLD MINERS INDEX BEAR 2X ETF,,,UNCLEAR,LOW
DXD US,PROSHARES ULTRASHORT DOW30,,,UNCLEAR,LOW
DYYXF US,DB COMMODITY DOUBLE LONG EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
DZZ US,DB GOLD DOUBLE SHORT EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
EDC US,DIREXION DAILY MSCI EMERGING MARKETS BULL 3X ETF,,,UNCLEAR,LOW
EDZ US,DIREXION DAILY MSCI EMERGING MARKETS BEAR 3X ETF,,,UNCLEAR,LOW
EET US,PROSHARES ULTRA MSCI EMERGING MARKETS,,,UNCLEAR,LOW
EEV US,PROSHARES ULTRASHORT MSCI EMERGING MARKETS,,,UNCLEAR,LOW
EFO US,PROSHARES ULTRA MSCI EAFE,,,UNCLEAR,LOW
EFU US,PROSHARES ULTRASHORT MSCI EAFE,,,UNCLEAR,LOW
EFZ US,PROSHARES SHORT MSCI EAFE,,,UNCLEAR,LOW
ELIL US,DIREXION DAILY LLY BULL 2X ETF,LLY US,LLY US,OK,HIGH
EMTY US,PROSHARES DECLINE OF THE RETAIL STORE ETF,,,UNCLEAR,LOW
EOSU US,T-REX 2X LONG EOSE DAILY TARGET ETF,EOSE US,EOSE US,OK,HIGH
EPV US,PROSHARES ULTRASHORT FTSE EUROPE,,,UNCLEAR,LOW
ERX US,DIREXION DAILY ENERGY BULL 2X ETF,,ENERGY,UNCLEAR,LOW
ERY US,DIREXION DAILY ENERGY BEAR 2X ETF,,ENERGY,UNCLEAR,LOW
ETHD US,PROSHARES ULTRASHORT ETHER ETF,XETUSD Curncy,XETUSD Curncy,OK,MEDIUM
ETHT US,PROSHARES ULTRA ETHER ETF,XETUSD Curncy,XETUSD Curncy,OK,MEDIUM
ETHU US,2X ETHER ETF,XETUSD Curncy,,UNCLEAR,LOW
ETRL US,GRANITESHARES 2X LONG ETOR DAILY ETF,ETOR US,ETOR US,OK,HIGH
ETU US,T-REX 2X LONG ETHER DAILY TARGET ETF,XETUSD Curncy,XETUSD Curncy,OK,MEDIUM
EUM US,PROSHARES SHORT MSCI EMERGING MARKETS,,,UNCLEAR,LOW
EUO US,PROSHARES ULTRASHORT EURO,EURUSD Curncy,EURO,UNCLEAR,LOW
EURL US,DIREXION DAILY FTSE EUROPE BULL 3X ETF,,,UNCLEAR,LOW
EWV US,PROSHARES ULTRASHORT MSCI JAPAN,,,UNCLEAR,LOW
EZJ US,PROSHARES ULTRA MSCI JAPAN,,,UNCLEAR,LOW
FAS US,DIREXION DAILY FINANCIAL BULL 3X ETF,,,UNCLEAR,LOW
FAZ US,DIREXION DAILY FINANCIAL BEAR 3X ETF,,,UNCLEAR,LOW
FBL US,GRANITESHARES 2X LONG META DAILY ETF,META US,META US,OK,MEDIUM
FCXG US,LEVERAGE SHARES 2X LONG FCX DAILY ETF,FCX,FCX US,OK,HIGH
FDRX US,FOUNDER-LED 2X DAILY ETF,FDRTR Index,,UNCLEAR,LOW
FGRU US,T-REX 2X LONG FIGR DAILY TARGET ETF,FIGR,FIGR US,OK,HIGH
FIEGF US,FI ENHANCED GLOBAL HIGH YIELD ETN LINKED TO MSCI WORLD HIGH DIVIDEND YIELD USD,,,UNCLEAR,LOW
FIGG US,LEVERAGE SHARES 2X LONG FIG DAILY ETF,FIG US,FIG US,OK,HIGH
FLYD US,MICROSECTORS TRAVEL 3X INVERSE LEVERAGED ETN,MQUSTRAV,,UNCLEAR,LOW
FLYT US,TRADR 2X LONG FLY DAILY ETF,FLY US,FLY US,OK,HIGH
FLYU US,MICROSECTORS TRAVEL 3X LEVERAGED ETN,MQUSTRAV,,UNCLEAR,LOW
FNGD US,MICROSECTORS FANG+ INDEX -3X INVERSE LEVERAGED ETNS DUE JANUARY 8 2038,NYFANGT,,UNCLEAR,LOW
FNGG US,DIREXION DAILY NYSE FANG+ BULL 2X ETF,,,UNCLEAR,LOW
FNGO US,MICROSECTORS FANG INDEX 2X LEVERAGED ETN,NYFANGT,,UNCLEAR,LOW
FNGS US,MICROSECTORS FANG+ ETNS,,,UNCLEAR,LOW
FNGU US,MICROSECTORS FANG+ 3X LEVERAGED ETN,NYFANGT,,UNCLEAR,LOW
FUTG US,LEVERAGE SHARES 2X LONG FUTU DAILY ETF,FUTU US,FUTU US,OK,HIGH
FXP US,PROSHARES ULTRASHORT FTSE CHINA 50,,,UNCLEAR,LOW
GDXD US,MICROSECTORS GOLD MINERS -3X INVERSE LEVERAGED ETN,MINERS,,UNCLEAR,LOW
GDXU US,MICROSECTORS GOLD MINERS 3X LEVERAGED ETN,MINERS,,UNCLEAR,LOW
GEMG US,LEVERAGE SHARES 2X LONG GEMI DAILY ETF,GEMI US,GEMI US,OK,HIGH
GEVG US,LEVERAGE SHARES 2X LONG GEV DAILY ETF,GEV US,GEV US,OK,HIGH
GEVX US,TRADR 2X LONG GEV DAILY ETF,GEV US,GEV US,OK,HIGH
GGLL US,DIREXION DAILY GOOGL BULL 2X ETF,GOOGL US,GOOGL US,OK,HIGH
GGLS US,DIREXION DAILY GOOGL BEAR 1X ETF,GOOGL US,GOOGL US,OK,HIGH
GLGG US,LEVERAGE SHARES 2X LONG GLXY DAILY ETF,GLXY US,GLXY US,OK,HIGH
GLL US,PROSHARES ULTRASHORT GOLD,USDXAU Curncy,XAU Curncy,MISMATCH,MEDIUM
GLWG US,LEVERAGE SHARES 2X LONG GLW DAILY ETF,GLW,GLW US,OK,HIGH
GLXU US,T-REX 2X LONG GLXY DAILY TARGET ETF,GLXY US,GLXY US,OK,HIGH
GMEU US,T-REX 2X LONG GME DAILY TARGET ETF,GME US,GME US,OK,HIGH
GOOX US,T-REX 2X LONG ALPHABET DAILY TARGET ETF,GOOG US,GOOG US,OK,MEDIUM
GOU US,GRANITESHARES 2X LONG GOOGL DAILY ETF,GOOGL US,GOOGL US,OK,HIGH
GRAG US,LEVERAGE SHARES 2X LONG GRAB DAILY ETF,GRAB US,GRAB US,OK,HIGH
GUSH US,DIREXION DAILY S&P OIL & GAS EXP. & PROD. BULL 2X ETF,,,UNCLEAR,LOW
HCMT US,DIREXION HCM TACTICAL ENHANCED US ETF,,,UNCLEAR,LOW
HDLB US,ETRACS MONTHLY PAY 2XLEVERAGED US HIGH DIVIDEND LOW VOLATILITY ETN SERIES B,SOLHDLV,,UNCLEAR,LOW
HIBL US,DIREXION DAILY S&P 500 HIGH BETA BULL 3X ETF,,,UNCLEAR,LOW
HIBS US,DIREXION DAILY S&P 500 HIGH BETA BEAR 3X ETF,,,UNCLEAR,LOW
HIMZ US,DEFIANCE DAILY TARGET 2X LONG HIMS ETF,HIMS US,,UNCLEAR,LOW
HLXX US,TRADR 2X LONG HL DAILY ETF,HL,HL US,OK,HIGH
HODU US,DIREXION DAILY HOOD BULL 2X ETF,BULL US,HOOD US,MISMATCH,HIGH
HOLD US,HARBOR ALPHA LAYERING ETF,,,UNCLEAR,LOW
HOOG US,LEVERAGE SHARES 2X LONG HOOD DAILY ETF,HOOD US,HOOD US,OK,HIGH
HOOX US,DEFIANCE DAILY TARGET 2X LONG HOOD ETF,HOOD US,,UNCLEAR,LOW
HOOZ US,DEFIANCE DAILY TARGET 2X SHORT HOOD ETF,HOOD US,,UNCLEAR,LOW
HUTG US,LEVERAGE SHARES 2X LONG HUT DAILY ETF,HUT US,HUT US,OK,HIGH
IBX US,TRADR 2X LONG IBM DAILY ETF,IBM,IBM US,OK,HIGH
INDL US,DIREXION DAILY MSCI INDIA BULL 2X ETF,,,UNCLEAR,LOW
INTW US,GRANITESHARES 2X LONG INTC DAILY ETF,INTC US,INTC US,OK,HIGH
IONL US,GRANITESHARES 2X LONG IONQ DAILY ETF,IONQ US,IONQ US,OK,HIGH
