ticker,fund_name,current_map,expected,status,confidence
DSEP US,FT VEST US EQUITY DEEP BUFFER ETF - SEPTEMBER,Buffer,Buffer,OK,HIGH
DVIN US,WEBS INDUSTRIALS XLI DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVQQ US,WEBS QQQ DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVRE US,WEBS REAL ESTATE XLRE DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVSP US,WEBS SPY DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVUT US,WEBS UTILITIES XLU DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVXB US,WEBS MATERIALS XLB DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVXC US,WEBS COMMUNICATION SERVICES XLC DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVXE US,WEBS ENERGY XLE DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVXF US,WEBS FINANCIAL XLF DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVXK US,WEBS TECHNOLOGY XLK DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVXP US,WEBS CONSUMER STAPLES XLP DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVXV US,WEBS HEALTH CARE XLV DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
DVXY US,WEBS CONSUMER DISCRETIONARY XLY DEFINED VOLATILITY ETF,Defined Volatility,Defined Volatility,OK,MEDIUM
EALT US,INNOVATOR US EQUITY 5 TO 15 BUFFER ETF-QUARTERLY,Buffer,Buffer,OK,HIGH
EAPR US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
EBUF US,INNOVATOR EMERGING MARKETS 10 BUFFER ETF - QUARTERLY,Buffer,Buffer,OK,HIGH
EJAN US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
EJUL US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
EOCT US,INNOVATOR EMERGING MARKETS POWER BUFFER ETF-OCTOBER,Buffer,Buffer,OK,HIGH
FAPR US,FT VEST US EQUITY BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
FAUG US,FT VEST US EQUITY BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
FB US,PROSHARES S&P 500 DYNAMIC BUFFER ETF,Buffer,Buffer,OK,HIGH
