ticker,etp_category,is_primary,source
GLDY US,CC,1,manual
GMEY US,CC,1,manual
GOOP US,CC,1,manual
GOOW US,CC,1,manual
GOOY US,CC,1,manual
GPIQ US,CC,1,manual
GPIX US,CC,1,manual
GPTY US,CC,1,manual
GTR US,CC,1,manual
HBTA US,CC,1,manual
HCOW US,CC,1,manual
HEDG US,CC,1,manual
HEMI US,CC,1,manual
HEQT US,CC,1,manual
HIMY US,CC,1,manual
HIYY US,CC,1,manual
HMYY US,CC,1,manual
HOII US,CC,1,manual
HOOI US,CC,1,manual
HOOW US,CC,1,manual
HOOY US,CC,1,manual
HOYY US,CC,1,manual
HYBI US,CC,1,manual
HYGW US,CC,1,manual
HYTI US,CC,1,manual
ICOI US,CC,1,manual
ICRC US,CC,1,manual
IDVO US,CC,1,manual
IETH US,CC,1,manual
IGLD US,CC,1,manual
IGME US,CC,1,manual
IMRA US,CC,1,manual
IMST US,CC,1,manual
IOYY US,CC,1,manual
IQQQ US,CC,1,manual
ISPY US,CC,1,manual
ITWO US,CC,1,manual
IVVW US,CC,1,manual
IWMI US,CC,1,manual
IWMW US,CC,1,manual
IWMY US,CC,1,manual
IYRI US,CC,1,manual
JEPI US,CC,1,manual
JEPQ US,CC,1,manual
JPMO US,CC,1,manual
KGLD US,CC,1,manual
KLIP US,CC,1,manual
KNG US,CC,1,manual
KQQQ US,CC,1,manual
LFGY US,CC,1,manual
LLII US,CC,1,manual
LQDW US,CC,1,manual
LQTI US,CC,1,manual
LTTI US,CC,1,manual
MAAY US,CC,1,manual
MAGY US,CC,1,manual
MARO US,CC,1,manual
METW US,CC,1,manual
MLPD US,CC,1,manual
MLPI US,CC,1,manual
MRNY US,CC,1,manual
MSFO US,CC,1,manual
MSFW US,CC,1,manual
MSFY US,CC,1,manual
MSII US,CC,1,manual
MST US,CC,1,manual
MSTK US,CC,1,manual
MSTW US,CC,1,manual
MSTY US,CC,1,manual
MTYY US,CC,1,manual
NBOS US,CC,1,manual
NFLP US,CC,1,manual
NFLW US,CC,1,manual
NFLY US,CC,1,manual
NIHI US,CC,1,manual
NMB US,CC,1,manual
NUGY US,CC,1,manual
NVDW US,CC,1,manual
NVDY US,CC,1,manual
NVII US,CC,1,manual
NVYY US,CC,1,manual
OARK US,CC,1,manual
PAPI US,CC,1,manual
PBP US,CC,1,manual
PLT US,CC,1,manual
PLTI US,CC,1,manual
PLTW US,CC,1,manual
PLTY US,CC,1,manual
PLYY US,CC,1,manual
PVEX US,CC,1,manual
PYPY US,CC,1,manual
QBUL US,CC,1,manual
QBY US,CC,1,manual
QCLR US,CC,1,manual
QDTE US,CC,1,manual
QDTY US,CC,1,manual
QDVO US,CC,1,manual
QLDY US,CC,1,manual
QQQI US,CC,1,manual
QQQT US,CC,1,manual
QQQY US,CC,1,manual
QRMI US,CC,1,manual
QUP US,CC,1,manual
QYLD US,CC,1,manual
QYLG US,CC,1,manual
RBLY US,CC,1,manual
RDTE US,CC,1,manual
RDTY US,CC,1,manual
RDVI US,CC,1,manual
RDYY US,CC,1,manual
RGYY US,CC,1,manual
RNTY US,CC,1,manual
RTYY US,CC,1,manual
RYLD US,CC,1,manual
RYLG US,CC,1,manual
SCEP US,CC,1,manual
SCLZ US,CC,1,manual
SDTY US,CC,1,manual
SDVD US,CC,1,manual
SEMY US,CC,1,manual
SEPI US,CC,1,manual
SIXH US,CC,1,manual
SLJY US,CC,1,manual
SLTY US,CC,1,manual
SLVO US,CC,1,manual
SMCC US,CC,1,manual
SMCY US,CC,1,manual
SMYY US,CC,1,manual
SNOY US,CC,1,manual
SOLM US,CC,1,manual
SOXY US,CC,1,manual
SPIN US,CC,1,manual
SPUT US,CC,1,manual
SPYH US,CC,1,manual
SPYI US,CC,1,manual
SPYT US,CC,1,manual
SRHR US,CC,1,manual
TCAL US,CC,1,manual
TDAQ US,CC,1,manual
TDVI US,CC,1,manual
TESL US,CC,1,manual
TLTP US,CC,1,manual
TLTW US,CC,1,manual
TLTX US,CC,1,manual
TQQY US,CC,1,manual
TSII US,CC,1,manual
TSLP US,CC,1,manual
