ticker,map_cc_underlier,map_cc_index,cc_type,cc_category
FGSI US,,Basket,Traditional,Broad Beta
QUP US,,Basket,Synthetic,Tech
BNDY US,,Basket,Synthetic,Fixed Income
PVEX US,,Basket,Traditional,Broad Beta
HEQT US,,Basket,Traditional,Broad Beta
GTR US,,Basket,Traditional,Broad Beta
TYA US,,Basket,Synthetic,Fixed Income
QCLR US,,NDX,Traditional,Tech
QRMI US,,NDX,Traditional,Tech
XCLR US,,SPX,Traditional,Broad Beta
TESL US,TSLA US,,Synthetic,Single Stock
WTPI US,,SPX,Synthetic,Broad Beta
HBTA US,,Basket,Synthetic,Broad Beta
EDGE US,,Basket,Synthetic,Broad Beta
YGLD US,,Basket,Traditional,Commodity
NMB US,,Basket,Traditional,Fixed Income
QBUL US,,Basket,Traditional,Broad Beta
SCLZ US,,Basket,Synthetic,Broad Beta
NBOS US,,Basket,Traditional,Broad Beta
USG US,,Basket,Synthetic,Commodity
HEDG US,,Basket,Traditional,Broad Beta
ETTY US,,ETH,Traditional,Crypto
EHY US,,ETH,Traditional,Crypto
IETH US,,ETH,Synthetic,Crypto
ULTI US,,Basket,Traditional,Broad Beta
GDXW US,,GLD,Synthetic,Commodity
GLDW US,,GLD,Synthetic,Commodity
SOLM US,,SOL,Synthetic,Crypto
SEMY US,SOXL US,,Synthetic,Tech
XRPM US,,XRP,Traditional,Crypto
TSYW US,,TSY,Synthetic,Fixed Income
NUGY US,NUGT US,,Synthetic,Commodity
BALQ US,,NDX,Traditional,Tech
HEMI US,,SPX,Traditional,Broad Beta
MLPI US,,MQMNLPTU,Traditional,Energy
SCEP US,,Basket,Traditional,Broad Beta
YBST US,,FOF,Synthetic,Single Stock
YBTY US,,FOF,Synthetic,Single Stock
CAIE US,,Autocall,Synthetic,Autocallable
CAIQ US,,Autocall,Synthetic,Autocallable
ACEI US,,Autocall,Synthetic,Autocallable
ACII US,,Autocall,Synthetic,Autocallable
PAYH US,,Autocall,Synthetic,Autocallable
PAYM US,,Autocall,Synthetic,Autocallable
XOMO US,XOM US,,Synthetic,Single Stock
WMTI US,WMT US,,Synthetic,Single Stock
UNHW US,UNH US,,Synthetic,Single Stock
UBEW US,UBER US,,Synthetic,Single Stock
TSMY US,TSM US,,Synthetic,Single Stock
TSLY US,TSLA US,,Synthetic,Single Stock
TSLP US,TSLA US,,Synthetic,Single Stock
TSII US,TSLA US,,Synthetic,Single Stock
TSYY US,TSLA US,,Synthetic,Single Stock
TSLW US,TSLA US,,Synthetic,Single Stock
CRSH US,TSLA US,,Synthetic,Single Stock
TLTX US,TLTX UA,,Synthetic,Fixed Income
XYZY US,SQ US,,Synthetic,Single Stock
SNOY US,SNOW US,,Synthetic,Single Stock
SMCY US,SMCI US,,Synthetic,Single Stock
SMCC US,SMCI US,,Synthetic,Single Stock
SMYY US,SMCI US,,Synthetic,Single Stock
SLJY US,SILJ US,,Traditional,Commodity
RTYY US,RIOT US,,Synthetic,Single Stock
RGYY US,RGTI US,,Synthetic,Single Stock
RDYY US,RDDT US,,Synthetic,Single Stock
TQQY US,QQQ US,,Synthetic,Tech
QBY US,QBTS US,,Synthetic,Single Stock
PYPY US,PYPL US,,Synthetic,Single Stock
PLTY US,PLTR US,,Synthetic,Single Stock
PLTW US,PLTR US,,Synthetic,Single Stock
PLT US,PLTR US,,Synthetic,Single Stock
PLYY US,PLTR US,,Synthetic,Single Stock
PLTI US,PLTR US,,Synthetic,Single Stock
